ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON
FLAG,https://github.com/zaixizhang/FLAG,https://doi.org/10.48550/arXiv.2305.13997,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,A Fragment-based Ligand Generation framework to generate 3D molecules with valid and realistic substructures fragment-by-fragment.,62,2024-04-17T17:46:49Z,9 months ago,,0,,,material/target
GraphBP,https://github.com/divelab/GraphBP,https://doi.org/10.48550/arXiv.2204.09410,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,"Implements a method for generating 3D molecules targeting protein binding, presented at ICML 2022.",106,2023-07-20T16:35:43Z,18 months ago,,0,,,material/target
Rag2Mol,https://github.com/CQ-zhang-2016/Rag2Mol,https://doi.org/10.1101/2024.10.20.619266,,,De Novo Generation,Target Aware De Novo Generation,RAG,,Rag2Mol: Structure-based drug design based on Retrieval Augmented Generation,16,2024-10-07T12:20:15Z,3 months ago,,0,,,material/target
3D Structure-based Generative Small Molecule Drug Design: Are We There Yet?,,https://doi.org/10.1101/2024.12.27.629537,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,,,,,,0,,,material/target
Docking-based generative approaches in the search for new drug candidates [2022],,https://doi.org/10.1016/j.drudis.2022.103439,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,Docking-based generative approaches in the search for new drug candidates,,,,,23,Drug Discovery Today,6.5,material/target
Generative Deep Learning for Targeted Compound Design [2021],,https://doi.org/10.1021/acs.jcim.0c01496,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,Generative Deep Learning for Targeted Compound Design,,,,,95,Journal of Chemical Information and Modeling,5.6,material/target
Integrating structure-based approaches in generative molecular design [2023],,https://doi.org/10.1016/j.sbi.2023.102559,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,Integrating structure-based approaches in generative molecular design,,,,,29,Current Opinion in Structural Biology,6.1,material/target
Structure-based Drug Design Benchmark: Do 3D Methods Really Dominate?,https://github.com/zkysfls/2024-sbdd-benchmark,https://doi.org/10.1007/0-306-46858-1_13,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,benchmark to evaluate the performance of sixteen models across these different algorithmic foundations by assessing the pharmaceutical properties of the generated molecules and their docking affinities with specified target proteins,11,2024-06-02T14:09:07Z,7 months ago,,9,Three-Dimensional Quantitative Structure Activity Relationships,,material/target
DeepHop,https://github.com/prokia/deepHops,https://doi.org/10.1186/s13321-021-00565-5,,,De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,,Deep scaffold hopping with multimodal transformer neural networks,33,2022-08-19T06:46:16Z,29 months ago,,36,Journal of Cheminformatics,7.1,material/target
DiffHopp,https://github.com/jostorge/diffusion-hopping,https://doi.org/10.48550/arXiv.2308.07416,,,De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,,Graph Diffusion Model for Novel Drug Design via Scaffold Hopping,32,2023-10-02T09:49:08Z,15 months ago,,0,,,material/target
TurboHopp,,https://doi.org/10.48550/arXiv.2410.20660,,,De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,,Accelerated Molecule Scaffold Hopping with Consistency Models,,,,,0,,,material/target
Bajorath_Gen,https://uni-bonn.sciebo.de/s/Z9O2ZqKoA2cS7B1,https://doi.org/10.1186/s13321-024-00852-x,,,De Novo Generation,Target Aware De Novo Generation,Sequence-based,,Generative design of compounds with desired potency from target protein sequences using a multimodal biochemical language model,,,,,1,Journal of Cheminformatics,7.1,material/target
AlphaDrug,https://github.com/CMACH508/AlphaDrug,https://doi.org/10.1093/pnasnexus/pgac227,,,De Novo Generation,Target Aware De Novo Generation,Transformer,,protein target specific de novo molecular generation (generative chemistry) (standalone).,38,2022-10-20T09:48:46Z,27 months ago,,29,PNAS Nexus,2.2,material/target
PCMol,https://github.com/CDDLeiden/PCMol,https://doi.org/10.1021/acs.jcim.4c00309,,,De Novo Generation,Target Aware De Novo Generation,Transformer,,"A multi-target model for de novo molecule generation, using AlphaFold protein embeddings for thousands of protein targets.",63,2024-11-19T08:26:20Z,2 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/target
DrugHIVE,https://github.com/jssweller/DrugHIVE,https://doi.org/10.1021/acs.jcim.4c01193,,,De Novo Generation,Target Aware De Novo Generation,VAE,,Structure-Based Drug Design with a Deep Hierarchical Generative Model,70,2024-10-31T00:07:52Z,2 months ago,,5,Journal of Chemical Information and Modeling,5.6,material/target
HySonLab,https://github.com/HySonLab/Ligand_Generation,https://doi.org/10.1088/2632-2153/ad3ee4,,,De Novo Generation,Target Aware De Novo Generation,VAE,,Multimodal protein representation learning and target-aware variational auto-encoders for protein-binding ligand generation,28,2024-05-17T10:48:56Z,8 months ago,,2,Machine Learning: Science and Technology,6.3,material/target
Ligand_Generation,https://github.com/HySonLab/Ligand_Generation,https://doi.org/10.1088/2632-2153/ad3ee4,,,De Novo Generation,Target Aware De Novo Generation,VAE,,"This project focuses on target-aware variational autoencoders for ligand generation, employing multimodal protein representation learning for structure-based drug design.",28,2024-05-17T10:48:56Z,8 months ago,,2,Machine Learning: Science and Technology,6.3,material/target
RELATION,https://github.com/micahwang/RELATION,https://doi.org/10.1021/acs.jmedchem.2c00732,,,De Novo Generation,Target Aware De Novo Generation,VAE,,"A software for DL-based de novo drug design, focusing on generating molecules based on target protein interactions.",15,2022-11-14T07:36:48Z,26 months ago,,56,Journal of Medicinal Chemistry,6.8,material/target
DESERT,https://github.com/longlongman/DESERT,https://doi.org/10.48550/arXiv.2209.13865,,,De Novo Generation,Target Aware De Novo Generation,Zero Shot,,"Zero-shot 3D drug design by sketching and generating, as presented at NeurIPS 2022.",32,2022-10-21T05:31:47Z,27 months ago,,0,,,material/target
3DMolFormer,https://github.com/HXYfighter/3DMolFormer,https://doi.org/10.48550/arXiv.2502.05107,,,De Novo Generation,Target Aware De Novo Generation,,,A Dual-channel Framework for Structure-based Drug Discovery,12,2025-01-31T16:02:49Z,,,,,,material/target
Delete,https://github.com/HaotianZhangAI4Science/Delete,https://doi.org/10.1038/s42256-025-00997-w,,,De Novo Generation,Target Aware De Novo Generation,,,,23,2025-03-11T22:16:20Z,,,0,Nature Machine Intelligence,18.8,material/target
Metis,https://github.com/JanoschMenke/metis,https://doi.org/10.1186/s13321-024-00892-3,,,De Novo Generation,Tools,Expert Feedback,,Metis - A Python-Based User Interface to Collect Expert Feedback for Generative Chemistry Models,48,2024-08-27T11:45:35Z,4 months ago,,2,Journal of Cheminformatics,7.1,material/tools
GenUI,https://github.com/martin-sicho/genui,https://doi.org/10.1186/s13321-021-00550-y,,,De Novo Generation,Tools,,,"Offers API and GUI for molecular generators, QSAR modelling, and chemical space visualization.",32,2022-09-26T08:20:33Z,28 months ago,,13,Journal of Cheminformatics,7.1,material/tools
MolScore,https://github.com/MorganCThomas/MolScore/tree/main?tab=readme-ov-file,https://doi.org/10.1186/s13321-024-00861-w,,,De Novo Generation,Tools,,,,170,2025-03-13T10:27:34Z,1 months ago,,4,Journal of Cheminformatics,7.1,material/tools
SCRdkit,https://github.com/oxpig/DEVELOP/blob/main/analysis/calc_SC_RDKit.py,https://doi.org/10.1039/d1sc02436a,,,De Novo Generation,Tools,,,assesses the 3D similarity between generated molecules and a reference molecule,56,2022-01-11T23:19:17Z,36 months ago,,59,Chemical Science,7.6,material/tools
LSTM_Chem,https://github.com/topazape/LSTM_Chem,https://doi.org/10.1002/minf.201700111,,,De Novo Generation,Transformer,,,Implements generative recurrent networks for drug design.,116,2021-09-12T11:52:21Z,40 months ago,,310,Molecular Informatics,2.8,material/arrow-expand-right
TransformerVAE,https://github.com/mizuno-group/TransformerVAE,,,,De Novo Generation,Transformer,,,A VAE model with Transformer backbone for molecule generation.,8,2024-05-18T11:32:25Z,8 months ago,,,,,material/arrow-expand-right
SiMGen,https://github.com/rokasel/simgen,https://doi.org/10.48550/arXiv.2402.08708,https://zndraw.icp.uni-stuttgart.de/,,De Novo Generation,Zero Shot,,,Zero Shot Molecular Generation via Similarity Kernels,19,2024-12-13T17:14:16Z,1 months ago,,0,,,material/numeric-0-circle
MUDB-DecoyMaker2.0,https://github.com/jwxia2014/MUBD-DecoyMaker2.0,https://doi.org/10.1002/minf.201900151,,,Decoy Generation,Decoy Generation,,,A Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening.,3,2024-11-01T12:49:19Z,2 months ago,,10,Molecular Informatics,2.8,material/exclamation
TocoDecoy,https://github.com/5AGE-zhang/TocoDecoy,,,,Decoy Generation,Decoy Generation,,,A new approach to design unbiased datasets for training and benchmarking machine-learning scoring functions.,12,2022-04-14T13:53:37Z,33 months ago,,,,,material/exclamation
BayBE,https://github.com/emdgroup/baybe,,,,Design of Experiments,Design of Experiments,,,Bayesian Back End for Design of Experiments,316,2025-03-12T07:05:57Z,,,,,,material/flask-minus-outline
Chemical Space dataviz,https://github.com/vfscalfani/CSN_tutorial,https://doi.org/10.1186/s13321-022-00664-x,,,Dimensionality reduction,Dimensionality reduction,,,Visualizing chemical space networks with RDKit and NetworkX (standalone),34,2023-12-27T17:17:57Z,12 months ago,,26,Journal of Cheminformatics,7.1,material/select-group
ChemTreeMap,,https://doi.org/10.1093%2Fbioinformatics%2Fbtw523,,http://ajing.github.io/ChemTreeMap/,Dimensionality reduction,Dimensionality reduction,,,ChemTreeMap: an interactive map of biochemical similarity in molecular datasets,,,,,16,Bioinformatics,4.4,material/select-group
Datagrok,,,,https://datagrok.ai/help/explore/dim-reduction,Dimensionality reduction,Dimensionality reduction,,,Dimensionality reduction in Datagrok,,,,,,,,material/select-group
TMAP,,,,http://tmap.gdb.tools/,Dimensionality reduction,Dimensionality reduction,,,"A new data visualization method, TMAP, capable of representing data sets of up to millions of data points and arbitrary high dimensionality as a two-dimensional tree.",,,,,,,,material/select-group
t-SNE,,,,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.TSNE.html,Dimensionality reduction,Dimensionality reduction,,,,,,,,,,,material/select-group
ugtm,https://github.com/hagax8/ugtm,https://doi.org/10.5334/jors.235,,,Dimensionality reduction,Dimensionality reduction,,,a python package for Generative Topographic Mapping (GTM) - dataviz - classification - regression (standalone),51,2021-02-22T19:39:22Z,47 months ago,,10,Journal of Open Research Software,,material/select-group
UMAP,,https://doi.org/10.21105/joss.00861,,https://umap-learn.readthedocs.io/en/latest/basic_usage.html,Dimensionality reduction,Dimensionality reduction,,,Uniform Manifold Approximation and Projection,,,,,6482,Journal of Open Source Software,,material/select-group
From High Dimensions to Human Insight: Exploring Dimensionality Reduction for Chemical Space Visualization,,https://doi.org/10.1002/minf.202400265,,,Dimensionality reduction,Reviews,,,,,,,,1,Molecular Informatics,2.8,material/message-draw
GS-DTA,https://github.com/zhuziguang/GS-DTA,https://doi.org/10.1186/s12864-025-11234-4,,,Drug-target affinity (DTA) prediction,Drug-target affinity (DTA) prediction,,,,1,2024-11-15T11:46:10Z,,,0,BMC Genomics,3.5,material/shape-polygon-plus
MutualDTA,https://github.com/yydhYYDH/MutualDTA,https://doi.org/10.1021/acs.jcim.4c01893,,,Drug-target affinity (DTA) prediction,Drug-target affinity (DTA) prediction,,,,3,2024-10-27T06:11:53Z,,,0,Journal of Chemical Information and Modeling,5.6,material/shape-polygon-plus
Drug-Target Interaction/Affinity Prediction: Deep Learning Models and Advances Review,,https://doi.org/10.48550/arXiv.2502.15346,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,Reviews,,,,,,,,,,material/message-draw
BIND,https://github.com/Chokyotager/BIND,https://doi.org/10.1093/bib/bbae480,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,Protein language models are performant in structure-free virtual screening,15,2024-06-05T02:49:53Z,7 months ago,,0,Briefings in Bioinformatics,6.8,material/ip-outline
Conplex,https://github.com/samsledje/ConPLex,https://doi.org/10.1073/pnas.2220778120,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,,127,2025-02-27T15:01:46Z,11 months ago,,82,Proceedings of the National Academy of Sciences,9.4,material/ip-outline
DeepConv-DTI,https://github.com/GIST-CSBL/DeepConv-DTI,https://doi.org/10.1371/journal.pcbi.1007129,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,drug-target interactions via deep learning with convolution on protein sequences,74,2022-02-14T11:24:05Z,,,436,PLOS Computational Biology,3.8,material/ip-outline
DLM-DTI,https://github.com/jonghyunlee1993/DLM-DTI_hint-based-learning/tree/master,https://doi.org/10.1186/s13321-024-00808-1,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,,4,2023-09-07T14:34:59Z,,,6,Journal of Cheminformatics,7.1,material/ip-outline
DrugBAN,https://github.com/peizhenbai/DrugBAN,https://doi.org/10.1038/s42256-022-00605-1,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,bilinear attention network with domain adaptation,116,2023-02-19T20:15:37Z,,,126,Nature Machine Intelligence,18.8,material/ip-outline
DrugCLIP,https://github.com/bowen-gao/DrugClip,https://doi.org/10.48550/arXiv.2310.06367,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,Contrastive Protein-Molecule Representation Learning for Virtual Screening,80,2024-04-28T13:20:00Z,8 months ago,,0,,,material/ip-outline
DrugLAMP,https://github.com/Lzcstan/DrugLAMP,https://doi.org/10.1093/bioinformatics/btae693,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,Accurate and transferable drug-target interaction prediction,33,2024-03-26T18:34:15Z,,,0,Bioinformatics,4.4,material/ip-outline
SPRINT,https://github.com/abhinadduri/panspecies-dti,https://doi.org/10.48550/arXiv.2411.15418,https://bit.ly/colab-screen,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,Ultra-Fast Virtual Screening against Thousands of Proteomes,7,2025-02-28T22:38:17Z,0 months ago,,0,,,material/ip-outline
Top-DTI,https://github.com/bozdaglab/Top_DTI,https://doi.org/10.1101/2025.02.07.637146,,,Drug-target interaction (DTI) prediction,Drug-target interaction (DTI) prediction,,,Topological Deep Learning and Large Language Models for Drug Target Interaction Prediction,2,2025-01-28T00:40:30Z,,,0,,,material/ip-outline
Datagrok,,,,"https://github.com/datagrok-ai/public/blob/master/packages/HitTriage/README_HD.md
https://github.com/datagrok-ai/public/blob/master/packages/HitTriage/README_HT.md",DSTA cycle management,DSTA cycle management,,,DSTA cycle management in Datagrok,,,,,,,,material/sync
AutoCouple,https://github.com/Caflisch-Group/AutoCouple_Python-based,https://doi.org/10.1021/acscentsci.7b00401,,,FBDD,FBDD,,,in Silico Virtual Couplings,4,2017-11-02T10:11:43Z,87 months ago,,30,ACS Central Science,12.7,material/arrange-bring-forward
AutoT&T,,https://doi.org/10.1021/acs.jcim.5b00691,,http://sioc-ccbg.ac.cn/software/att2/,FBDD,FBDD,,,AutoT&T v.2: An Efficient and Versatile Tool for Lead Structure Generation and Optimization,,,,,23,Journal of Chemical Information and Modeling,5.6,material/arrange-bring-forward
CombiChem,https://github.com/karanicolaslab/combichem,https://doi.org/10.1021/acs.jcim.1c00630.s001,,,FBDD,FBDD,,,"CombiChem is a virtual screening approach that uses fragment screening techniques to identify and concatenate the best fragments into lead-like compounds, aiming to reduce computational resources while performing a comprehensive screen.",12,2021-08-20T03:02:03Z,41 months ago,,0,,,material/arrange-bring-forward
CREM,https://github.com/DrrDom/crem,https://doi.org/10.1186/s13321-020-00431-w,,,FBDD,FBDD,,,generate chemical structures using a fragment-based approach,223,2025-03-03T17:42:58Z,1 months ago,,58,Journal of Cheminformatics,7.1,material/arrange-bring-forward
DeepFrag,https://github.com/durrantlab/deepfrag/,https://doi.org/10.1021/acs.jcim.1c00103,,http://durrantlab.com/deepfragmodel,FBDD,FBDD,,,DeepFrag: An Open-Source Browser App for Deep-Learning Lead Optimization,23,2023-12-22T19:25:43Z,13 months ago,,27,Journal of Chemical Information and Modeling,5.6,material/arrange-bring-forward
Fragment-hit-followup,https://github.com/matteoferla/Fragment-hit-follow-up-chemistry,,,,FBDD,FBDD,,,"This repository contains a collection of notebooks and scripts for elaborating fragment hits identified crystallographically in the hit discovery stage of drug discovery, focusing on small fragments and including specific scripts for Diamond Light Source XChem targets.",10,2024-12-09T11:44:27Z,1 months ago,,,,,material/arrange-bring-forward
Fragmentstein,https://github.com/matteoferla/Fragmenstein,,,,FBDD,FBDD,,,"Fragmenstein performs merging, linking, and placing compounds by stitching bound compounds together like a reanimated corpse, operating as a 'placement' tool rather than traditional docking, and further energy minimizes the compounds within the protein environment.",184,2025-01-24T09:09:56Z,1 months ago,,,,,material/arrange-bring-forward
LigBuilder,,,,http://www.pkumdl.cn:8080/ligbuilder3/,FBDD,FBDD,,,multiple-purposed program developed for structure-based de novo drug design and optimization,,,,,,,,material/arrange-bring-forward
MolOptimizer,https://github.com/csbarak/MolOpt_Students_2023,,,,FBDD,FBDD,,,"MolOptimizer is a Flask-based package useful for the optimization of fragment screening datasets, developed to assist researchers in the field of small fragment-based inhibitors by enabling the alignment of large ligand datasets, extracting chemical descriptors, and training machine learning models to predict binding scores.",5,2023-07-25T11:45:13Z,18 months ago,,,,,material/arrange-bring-forward
OpenGrowth,,https://doi.org/10.1021/acs.jmedchem.5b00886,,https://sourceforge.net/projects/opengrowth/,FBDD,FBDD,,,OpenGrowth: An Automated and Rational Algorithm for Finding New Protein Ligands,,,,,54,Journal of Medicinal Chemistry,6.8,material/arrange-bring-forward
Software tools for fragment-based drug discovery (FBDD),https://github.com/PatWalters/fragment_expansion/blob/master/fragment_expansion.ipynb,,,,FBDD,FBDD,,,,27,2020-04-06T22:50:00Z,58 months ago,,,,,material/arrange-bring-forward
NAOMINext,,https://doi.org/10.1016/J.EJMECH.2018.11.075,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/naominext.html,FBDD,Fragment Growing,,,"from a co-crystallized small fragment, synthetic feasible lead compounds are generated",,,,,13,European Journal of Medicinal Chemistry,6,material/seed-plus
MolFrag,https://github.com/yang1rq/MolFrag,https://doi.org/10.1038/s42004-024-01346-5,https://dpai.ccnu.edu.cn/MolFrag/,,FBDD,Fragment library generation,,,digital fragmentation method that highlights important substructures by focusing locally within the molecular graph,5,2024-11-04T13:13:46Z,2 months ago,,0,Communications Chemistry,5.9,material/database-plus
DeLinker,https://github.com/oxpig/DeLinker,https://doi.org/10.1021/acs.jcim.9b01120,,,FBDD,Linker Design,,,Deep Generative Models for 3D Linker Design,123,2020-06-24T09:48:01Z,55 months ago,,162,Journal of Chemical Information and Modeling,5.6,material/link-variant-plus
DiffLinker,https://github.com/igashov/DiffLinker,https://doi.org/10.5281/zenodo.10515726,,,FBDD,Linker Design,,,"An Equivariant 3D-conditional Diffusion Model for Molecular Linker Design that places missing atoms between disconnected fragments in 3D, designing molecules that incorporate all initial fragments with potential applications in linker generation for drug discovery.",319,2024-04-17T17:16:08Z,9 months ago,,0,,,material/link-variant-plus
BuildAMol,https://github.com/NoahHenrikKleinschmidt/buildamol,https://doi.org/10.1186/s13321-024-00900-6,,https://biobuild.readthedocs.io/,FBDD,Tools,,,BuildAMol: a versatile Python toolkit for fragment-based molecular design,30,2024-10-28T14:12:05Z,2 months ago,,1,Journal of Cheminformatics,7.1,material/tools
FBDD_suite,https://github.com/KeenThera/FBDD_suite,,,,FBDD,Tools,,,"A collection of computational tools for fragment based drug design, including fragment selection, fragment docking, fragment growing, linking, merging etc.",4,2024-03-13T01:46:12Z,10 months ago,,,,,material/tools
Bokeh,,,,https://www.aipythonlibraries.com/bokeh/,General Tools,Python Libraries,,,"A library for creating interactive web-based visualizations, allowing users to explore data dynamically in a web browser.",,,,,,,,material/snake
Keras,,,,https://www.aipythonlibraries.com/keras/,General Tools,Python Libraries,,,"A user-friendly neural network library that acts as a high-level API for TensorFlow, making it easier to define and train deep learning models.",,,,,,,,material/snake
Matplotlib,,,,https://www.aipythonlibraries.com/matplotlib/,General Tools,Python Libraries,,,"A versatile plotting library for creating static, interactive, and animated visualizations in various formats.",,,,,,,,material/snake
NumPy,,,,https://www.aipythonlibraries.com/numpy/,General Tools,Python Libraries,,,"A fundamental library for numerical computing, providing support for large, multi-dimensional arrays and matrices, along with high-level mathematical functions.",,,,,,,,material/snake
Pandas,,,,https://www.aipythonlibraries.com/pandas/,General Tools,Python Libraries,,,"A powerful library for data manipulation and analysis, providing data structures like DataFrames for handling and processing structured data efficiently.",,,,,,,,material/snake
Plotly,,,,https://www.aipythonlibraries.com/plotly/,General Tools,Python Libraries,,,Another interactive visualization library that supports a wide range of chart types and can be used for creating dashboards and web applications.,,,,,,,,material/snake
PyTorch,,,,https://www.aipythonlibraries.com/pytorch/,General Tools,Python Libraries,,,"Another popular open-source machine learning framework, known for its flexibility, dynamic computation graphs, and strong support for GPU acceleration.",,,,,,,,material/snake
Scikit-learn,,,,https://www.aipythonlibraries.com/scikit-learn/,General Tools,Python Libraries,,,"A comprehensive machine learning library offering tools for classification, regression, clustering, dimensionality reduction, model selection, and preprocessing.",,,,,,,,material/snake
SciPy,,,,https://www.aipythonlibraries.com/scipy/,General Tools,Python Libraries,,,"Built on top of NumPy, SciPy offers a collection of algorithms and mathematical tools for scientific and technical computing, including optimization, integration, interpolation, and signal processing.",,,,,,,,material/snake
Seaborn,,,,https://www.aipythonlibraries.com/seaborn/,General Tools,Python Libraries,,,"A statistical data visualization library built on top of Matplotlib, providing a high-level interface for creating informative and attractive statistical graphics.",,,,,,,,material/snake
TensorFlow,,,,https://www.aipythonlibraries.com/tensorflow/,General Tools,Python Libraries,,,"An open-source machine learning framework developed by Google, widely used for building and training deep learning models.",,,,,,,,material/snake
AIC_Finder,https://github.com/dahvida/AIC_Finder,https://doi.org/10.1021/acscentsci.3c01517,,,HTS Analysis,HTS Analysis,,,,6,2024-03-18T15:20:34Z,10 months ago,,3,ACS Central Science,12.7,fontawesome/solid/chart-pie
CIPsee,,,https://cipsee.com/home,,Intellectual Property,Intellectual Property,,,"search, analyse and expand molecules in patent documents",,,,,,,,material/ip
Chem-Faiss,https://github.com/ritabratamaiti/Chem-Faiss,https://doi.org/10.5281/zenodo.3860959,,,Ligand-based Virtual Screening,2D,,,Chem-Faiss utilizes vector similarity search from Faiss combined with chemical fingerprinting to build a scalable similarity search architecture for compounds/molecules.,19,2021-03-25T08:02:23Z,46 months ago,,0,,,material/video-2d
eiR,https://github.com/girke-lab/eiR,,,,Ligand-based Virtual Screening,2D,,,eiR is a Bioconductor package for accelerated structure similarity searching of small molecules using an embedding and indexing approach.,3,2023-04-14T14:57:31Z,21 months ago,,,,,material/video-2d
FiBeFTa,https://github.com/OriolVillaro/FiBeFTa,,,,Ligand-based Virtual Screening,2D,,,"FiBeFTa is an online tool for virtual screening and fingerprint evaluation, comparing the performance of different molecular fingerprints for target-specific discernment.",0,2021-09-29T12:00:30Z,40 months ago,,,,,material/video-2d
FPSim2,https://github.com/chembl/FPSim2,https://doi.org/10.1021/ci600358f,,,Ligand-based Virtual Screening,2D,,,"FPSim2 is a RDKit-based package for fast compound similarity searches, offering high performance with high search thresholds.",126,2025-01-30T14:49:19Z,0 months ago,,72,Journal of Chemical Information and Modeling,5.6,material/video-2d
gpusimilarity,https://github.com/schrodinger/gpusimilarity,,,,Ligand-based Virtual Screening,2D,,,gpusimilarity provides a GPU implementation of chemical fingerprint similarity searching for large-scale chemical libraries.,103,2024-01-24T19:08:08Z,12 months ago,,,,,material/video-2d
pyADA,https://github.com/jeffrichardchemistry/pyADA,,,,Ligand-based Virtual Screening,2D,,,pyADA is a cheminformatics package for performing Applicability Domain Analysis of molecular fingerprints based on similarity calculation.,21,2024-02-08T17:14:12Z,11 months ago,,,,,material/video-2d
PyRMD,https://github.com/cosconatilab/PyRMD?tab=readme-ov-file,https://doi.org/10.1021/acs.jcim.1c00653,,,Ligand-based Virtual Screening,2D,,,"PyRMD is an AI-powered Ligand-Based Virtual Screening tool powered by machine learning, developed for fast and efficient virtual screening.",82,,19 months ago,,30,Journal of Chemical Information and Modeling,5.6,material/video-2d
ScreenLamp,,,,https://psa-lab.github.io/screenlamp/user_guide/tools/,Ligand-based Virtual Screening,2D,,,"ScreenLamp is a modular toolkit for virtual screening, offering various command-line tools for different stages of the virtual screening process.",,,,,,,,material/video-2d
SmallWorld,,,https://sw.docking.org/search.html,,Ligand-based Virtual Screening,2D,,,web-based ligand similarity on a variety of commercial databases,,,,,,,,material/video-2d
SwissSimilarity,,https://doi.org/10.3390%2Fijms23020811,,http://www.swisssimilarity.ch/,Ligand-based Virtual Screening,2D,,,SwissSimilarity offers an online service for small molecule similarity screening against selected compound libraries using various cheminformatics methods.,,,,,84,International Journal of Molecular Sciences,4.9,material/video-2d
WHALES,https://github.com/grisoniFr/scaffold_hopping_whales/blob/master/code/virtual_screening_pipeline.ipynb,https://doi.org/10.1038%2Fs41598-018-34677-0,,,Ligand-based Virtual Screening,2D,,,WHALES provides a virtual screening pipeline focusing on scaffold hopping and ligand-based drug discovery through a Jupyter notebook example.,31,2021-01-12T10:15:52Z,48 months ago,,29,Scientific Reports,3.8,material/video-2d
AutoDock-SS,,https://doi.org/10.1021/acs.jcim.4c00136,,https://www.semanticscholar.org/paper/AutoDock-SS%3A-AutoDock-for-Multiconformational-Ni-Wang/6a967759d3ab27e076e570238a7f8ce029bfc0e7,Ligand-based Virtual Screening,3D,,,"AutoDock-SS enhances AutoDock for multiconformational and flexible ligand docking, considering various ligand conformations for accurate docking predictions.",,,,,3,Journal of Chemical Information and Modeling,5.6,material/video-3d
ROSHAMBO,https://github.com/molecularinformatics/roshambo,https://doi.org/10.1021/acs.jcim.4c01225.s001,,,Ligand-based Virtual Screening,3D,,,Open-Source Molecular Alignment and 3D Similarity Scoring,74,2024-08-23T13:44:47Z,4 months ago,,0,,,material/video-3d
SCRdkit,https://github.com/oxpig/DEVELOP/blob/main/analysis/calc_SC_RDKit.py,https://doi.org/10.1039/d1sc02436a,,,Ligand-based Virtual Screening,3D,,,assesses the 3D similarity between generated molecules and a reference molecule,56,2022-01-11T23:19:17Z,36 months ago,,59,Chemical Science,7.6,material/video-3d
SENSAAS,https://github.com/SENSAAS/sensaas,https://doi.org/10.1002/minf.202000081,,,Ligand-based Virtual Screening,3D,,,"SENSAAS is a shape-based alignment software for superimposing molecules, utilizing a colored point-based surface representation for molecular comparison.",20,2024-03-06T13:12:29Z,10 months ago,,3,Molecular Informatics,2.8,material/video-3d
ShaEP,,https://doi.org/10.1021/ci800315d,,https://users.abo.fi/mivainio/shaep/,Ligand-based Virtual Screening,3D,,,"ShaEP aligns two 3D molecular structures and computes a similarity index, useful for virtual screening and 3D QSAR methods.",,,,,173,Journal of Chemical Information and Modeling,5.6,material/video-3d
Open3DAlign,http://open3dalign.sourceforge.net/,,,,Ligand-based Virtual Screening,Alignement,,,unsupervised rigid-body molecular alignment,,,,,,,,material/align-horizontal-center
Roshambo,https://github.com/molecularinformatics/roshambo,https://doi.org/10.1021/acs.jcim.4c01225,https://oschem.biogen.com/,,Ligand-based Virtual Screening,Color Similarity,,,Open-source package for molecular alignment and 3D similarity calculations optimized for large-scale virtual screening of small molecules.,74,2024-08-23T13:44:47Z,4 months ago,,0,Journal of Chemical Information and Modeling,5.6,material/palette
ACPC,https://github.com/UnixJunkie/ACPC,,,,Ligand-based Virtual Screening,Electrostatic Similarity,,,ligand similarity based on a rotation and translation invariant electrostatic descriptor,19,2023-01-11T03:38:57Z,,,,,,material/lightning-bolt
