ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
CBGBench,https://github.com/Edapinenut/CBGBench,,,,De Novo Generation,Target Aware De Novo Generation,Benchmarks,,,174.0,09/2024,0 months ago,,,material/target
DiffDec,https://github.com/biomed-AI/DiffDec/blob/master/README.md,https://doi.org/10.1021/acs.jcim.3c01466,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,A model that uses an end-to-end equivariant diffusion process for optimizing molecular structures through scaffold decoration conditioned on 3D protein pockets.,27.0,06/2024,2 months ago,,2.0,material/target
DiffSBDD,https://github.com/arneschneuing/DiffSBDD,https://doi.org/10.48550/arXiv.2210.13695,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,"Structure-based Drug Design with Equivariant Diffusion Models (standalone, 2024).",316.0,07/2024,1 months ago,,0.0,material/target
MolSnapper,https://github.com/oxpig/MolSnapper,https://doi.org/10.1101/2024.03.28.586278v1).,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,Conditioning Diffusion for Structure Based Drug Design,16.0,03/2024,5 months ago,,0.0,material/target
TargetDiff,https://github.com/guanjq/targetdiff,https://doi.org/10.48550/arXiv.2303.03543,,,De Novo Generation,Target Aware De Novo Generation,Diffusion,,"3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction (standalone, 2024).",203.0,07/2023,14 months ago,,0.0,material/target
FREED,https://github.com/AITRICS/FREED,https://doi.org/10.48550/arXiv.2110.01219,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,Utilizes explorative experience replay in a generative reinforcement learning setup for drug design.,49.0,03/2022,30 months ago,,0.0,material/target
OptiMol,https://github.com/jacquesboitreaud/OptiMol,https://doi.org/10.1101/2020.05.23.112201v2,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,,36.0,01/2023,19 months ago,,0.0,material/target
SampleDock,https://github.com/atfrank/SampleDock,https://doi.org/10.1101/2020.06.09.143289v1,,https://atfrank.github.io/SampleDock/,De Novo Generation,Target Aware De Novo Generation,Docking-based,,Navigating Chemical Space By Interfacing Generative Artificial Intelligence and Molecular Docking,6.0,02/2022,31 months ago,,0.0,material/target
Lib-INVENT,https://github.com/MolecularAI/Lib-INVENT,https://doi.org/10.1021/acs.jcim.1c00469,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,Reaction-based Generative Scaffold Decoration for in Silico Library Design,55.0,03/2023,18 months ago,,37.0,material/target
KGDiff,https://github.com/CMACH508/KGDiff,https://doi.org/10.5281/zenodo.8419944,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,A model for explainable target-aware molecule generation with knowledge guidance.,27.0,01/2024,7 months ago,,0.0,material/target
MORLD,https://github.com/wsjeon92/morld,https://doi.org/10.1038/s41598-020-78537-2,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,,26.0,08/2023,12 months ago,,40.0,material/target
liGAN,https://github.com/mattragoza/liGAN,https://doi.org/10.1039/D1SC05976A,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,A project for structure-based drug discovery using deep generative models of atomic density grids.,220.0,03/2023,18 months ago,,74.0,material/target
LS-MolGen,https://github.com/songleee/LS-MolGen,https://doi.org/10.1021/acs.jcim.3c00587,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,"A ligand-and-structure dual-driven deep reinforcement learning method for target-specific molecular generation, integrating docking scores and bioactivity data for molecule optimization.",32.0,06/2023,14 months ago,,3.0,material/target
PMDM,https://github.com/Layne-Huang/PMDM/tree/main,https://doi.org/10.1038/s41467-024-46569-1,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,dual diffusion model enables 3D binding bioactive molecule generation and lead optimization given target pockets,87.0,07/2024,1 months ago,,5.0,material/target
PocketOptimizer 2.0,https://github.com/Hoecker-Lab/pocketoptimizer,https://doi.org/10.1021/acs.jctc.5b00255,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,Design of small molecule‐binding pockets in proteins (standalone),28.0,06/2024,2 months ago,,7374.0,material/target
RGA,https://github.com/futianfan/reinforced-genetic-algorithm,https://doi.org/10.48550/arXiv.2211.16508,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,"A reinforcement learning-based genetic algorithm for structure-based drug design, introduced at NeurIPS 2022.",65.0,07/2023,13 months ago,,0.0,material/target
SBMolGen,https://github.com/clinfo/SBMolGen,https://doi.org/10.1021/acs.jcim.1c00679,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,"integrates a recurrent neural network, a Monte Carlo tree search, and docking simulations",41.0,04/2022,29 months ago,,36.0,material/target
SECSE,https://github.com/KeenThera/SECSE,https://doi.org/10.1186/s13321-022-00598-4,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,,78.0,05/2024,4 months ago,,11.0,material/target
DockStream,https://github.com/MolecularAI/DockStream,https://doi.org/10.1186/s13321-021-00563-7,,,De Novo Generation,Target Aware De Novo Generation,Docking-based,,,104.0,03/2023,18 months ago,,30.0,material/target
Alx-Fuse,https://github.com/biomed-AI/AIxFuse,https://doi.org/10.1101/2023.12.10.571029,,,De Novo Generation,Target Aware De Novo Generation,Dual-target,,,3.0,12/2023,8 months ago,,0.0,material/target
FragGen,https://github.com/HaotianZhangAI4Science/FragGen,https://doi.org/10.5281/zenodo.7758282).,,,De Novo Generation,Target Aware De Novo Generation,Fragment-based,,Fragment wise 3D Structure-based Molecular Generation,6.0,05/2024,4 months ago,,0.0,material/target
IFP-RNN,https://github.com/jeah-z/IFP-RNN,,,,De Novo Generation,Target Aware De Novo Generation,Interaction fingerprint constrained,,A molecule generative model used interaction fingerprint (docking pose) as constraints.,14.0,02/2022,31 months ago,,,material/target
Lingo3DMol,https://github.com/stonewiseAIDrugDesign/Lingo3DMol,https://doi.org/10.48550/arXiv.2305.10133,,,De Novo Generation,Target Aware De Novo Generation,Language Model,,A pocket-based 3D molecule generation method that combines language model capabilities with 3D coordinate generation and geometric deep learning.,47.0,11/2023,9 months ago,,0.0,material/target
PROTACable,https://github.com/giaguaro/PROTACable/,https://doi.org/10.1186/s13321-021-00522-2).,,,De Novo Generation,Target Aware De Novo Generation,PROTACs,,"Integrative Computational Pipeline of 3-D Modeling and Deep Learning To Automate the De Novo Design of PROTACs (standalone, published 2024).",26.0,06/2024,3 months ago,,0.0,material/target
DEVELOP,https://github.com/oxpig/DEVELOP/tree/main,https://doi.org/10.1101/2021.04.27.441676v1.full,,,De Novo Generation,Target Aware De Novo Generation,Pharmacophore,,,55.0,01/2022,32 months ago,,0.0,material/target
DeepICL,https://github.com/ACE-KAIST/DeepICL,https://doi.org/10.1038/s41467-024-47011-2,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,3D molecular generative framework for interaction-guided drug design,42.0,07/2024,2 months ago,,3.0,material/target
DrugGPS,https://github.com/zaixizhang/DrugGPS_ICML23,https://doi.org/10.48550/arXiv.2305.13997,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,"Focuses on learning subpocket prototypes for generalizable structure-based drug design, introduced at ICML 2023.",23.0,02/2024,6 months ago,,0.0,material/target
FLAG,https://github.com/zaixizhang/FLAG,https://doi.org/10.48550/arXiv.2305.13997,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,A Fragment-based Ligand Generation framework to generate 3D molecules with valid and realistic substructures fragment-by-fragment.,59.0,04/2024,4 months ago,,0.0,material/target
GraphBP,https://github.com/divelab/GraphBP,https://doi.org/10.48550/arXiv.2204.09410,,,De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,,"Implements a method for generating 3D molecules targeting protein binding, presented at ICML 2022.",101.0,07/2023,13 months ago,,0.0,material/target
Structure-based Drug Design Benchmark: Do 3D Methods Really Dominate?,https://github.com/zkysfls/2024-sbdd-benchmark,https://doi.org/10.48550/arXiv.2406.03403,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,benchmark to evaluate the performance of sixteen models across these different algorithmic foundations by assessing the pharmaceutical properties of the generated molecules and their docking affinities with specified target proteins,10.0,06/2024,3 months ago,,0.0,material/target
Integrating structure-based approaches in generative molecular design [2023],,https://doi.org/10.1016/j.sbi.2023.102559,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,,,,,,24.0,material/target
Docking-based generative approaches in the search for new drug candidates [2022],,https://doi.org/10.1016/j.drudis.2022.103439,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,,,,,,19.0,material/target
Generative Deep Learning for Targeted Compound Design [2021],,https://doi.org/10.1021/acs.jcim.0c01496,,,De Novo Generation,Target Aware De Novo Generation,Reviews,,,,,,,71.0,material/target
DeepHop,https://github.com/prokia/deepHops,https://doi.org/10.1186/s13321-021-00565-5,,,De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,,,34.0,08/2022,25 months ago,,28.0,material/target
Bajorath_Gen,https://uni-bonn.sciebo.de/s/Z9O2ZqKoA2cS7B1,https://doi.org/10.1186/s13321-024-00852-x,,,De Novo Generation,Target Aware De Novo Generation,Sequence-based,,,,,,,0.0,material/target
Metis,https://github.com/JanoschMenke/metis,https://doi.org/10.26434/chemrxiv-2024-zs5xp,,,De Novo Generation,Tools,Expert Feedback,,,33.0,08/2024,0 months ago,,0.0,material/tools
Disco,,http://disco.csb.pitt.edu/Targets_top1.php?ligands,,,Decoy Generation,Decoy Generation,,,A default benchmark containing 95 targets selected from the DUD-E Targets list for docking datasets generation.,,,,,,material/exclamation
MUDB-DecoyMaker2.0,https://github.com/jwxia2014/MUBD-DecoyMaker2.0,https://doi.org/10.1002/minf.201900151,,,Decoy Generation,Decoy Generation,,,A Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening.,3.0,10/2023,10 months ago,,10.0,material/exclamation
TocoDecoy,https://github.com/5AGE-zhang/TocoDecoy,,,,Decoy Generation,Decoy Generation,,,A new approach to design unbiased datasets for training and benchmarking machine-learning scoring functions.,12.0,04/2022,29 months ago,,,material/exclamation
AutoCouple,https://github.com/Caflisch-Group/AutoCouple_Python-based,,,,FBDD,FBDD,,,,4.0,11/2017,83 months ago,,,material/sitemap-outline
AutoT&T,,https://doi.org/10.1021/acs.jcim.5b00691,,http://sioc-ccbg.ac.cn/software/att2/,FBDD,FBDD,,,,,,,,23.0,material/sitemap-outline
CombiChem,https://github.com/karanicolaslab/combichem,https://doi.org/10.1101/2021.06.01.446684,,,FBDD,FBDD,,,"CombiChem is a virtual screening approach that uses fragment screening techniques to identify and concatenate the best fragments into lead-like compounds, aiming to reduce computational resources while performing a comprehensive screen.",12.0,08/2021,37 months ago,,1.0,material/sitemap-outline
CREM,https://github.com/DrrDom/crem,https://doi.org/10.1186/s13321-020-00431-w,,,FBDD,FBDD,,,generate chemical structures using a fragment-based approach,197.0,04/2024,4 months ago,,50.0,material/sitemap-outline
DeepFrag,https://github.com/durrantlab/deepfrag/,https://doi.org/10.1021/acs.jcim.1c00103,,http://durrantlab.com/deepfragmodel,FBDD,FBDD,,,,18.0,12/2023,8 months ago,,23.0,material/sitemap-outline
FBDD_suite,https://github.com/KeenThera/FBDD_suite,,,,FBDD,FBDD,,,"A collection of computational tools for fragment based drug design, including fragment selection, fragment docking, fragment growing, linking, merging etc.",3.0,03/2024,6 months ago,,,material/sitemap-outline
Fragment-hit-followup,https://github.com/matteoferla/Fragment-hit-follow-up-chemistry,,,,FBDD,FBDD,,,"This repository contains a collection of notebooks and scripts for elaborating fragment hits identified crystallographically in the hit discovery stage of drug discovery, focusing on small fragments and including specific scripts for Diamond Light Source XChem targets.",10.0,07/2024,2 months ago,,,material/sitemap-outline
Fragmentstein,https://github.com/matteoferla/Fragmenstein,,,,FBDD,FBDD,,,"Fragmenstein performs merging, linking, and placing compounds by stitching bound compounds together like a reanimated corpse, operating as a 'placement' tool rather than traditional docking, and further energy minimizes the compounds within the protein environment.",172.0,08/2024,1 months ago,,,material/sitemap-outline
LigBuilder,,,,http://www.pkumdl.cn:8080/ligbuilder3/,FBDD,FBDD,,,,,,,,,material/sitemap-outline
MolOptimizer,https://github.com/csbarak/MolOpt_Students_2023,,,,FBDD,FBDD,,,"MolOptimizer is a Flask-based package useful for the optimization of fragment screening datasets, developed to assist researchers in the field of small fragment-based inhibitors by enabling the alignment of large ligand datasets, extracting chemical descriptors, and training machine learning models to predict binding scores.",3.0,07/2023,13 months ago,,,material/sitemap-outline
OpenGrowth,,http://dx.doi.org/10.1021/acs.jmedchem.5b00886,,https://sourceforge.net/projects/opengrowth/,FBDD,FBDD,,,,,,,,53.0,material/sitemap-outline
Software tools for fragment-based drug discovery (FBDD),https://github.com/PatWalters/fragment_expansion/blob/master/fragment_expansion.ipynb,,,,FBDD,FBDD,,,,27.0,04/2020,53 months ago,,,material/sitemap-outline
DeLinker,https://github.com/oxpig/DeLinker,https://doi.org/10.1021/acs.jcim.9b01120,,,FBDD,FBDD,Linker Design,,Deep Generative Models for 3D Linker Design,116.0,06/2020,51 months ago,,141.0,material/sitemap-outline
DiffLinker,https://github.com/igashov/DiffLinker,https://doi.org/10.5281/zenodo.10515726,,,FBDD,FBDD,Linker Design,,"An Equivariant 3D-conditional Diffusion Model for Molecular Linker Design that places missing atoms between disconnected fragments in 3D, designing molecules that incorporate all initial fragments with potential applications in linker generation for drug discovery.",290.0,04/2024,4 months ago,,0.0,material/sitemap-outline
BuildAMol,https://github.com/NoahHenrikKleinschmidt/buildamol,https://doi.org/10.1186/s13321-024-00900-6,,https://biobuild.readthedocs.io/,FBDD,FBDD,Toolkits,,,18.0,08/2024,0 months ago,,0.0,material/sitemap-outline
Meeko,https://github.com/forlilab/Meeko,https://doi.org/10.1017/qrd.2022.18,,,General Tools,Chemical Format Translation,,,preparation of small molecules for AutoDock suite (.pdbqt format).,184.0,05/2024,3 months ago,,4.0,material/translate-variant
OpenBabel,,https://doi.org/10.1186/1758-2946-3-33,,http://openbabel.org/wiki/Main_Page,General Tools,Chemical Format Translation,,,"toolkit for drug discovery, file format etc (standalone)",,,,,6115.0,material/translate-variant
pybel,,https://doi.org10.1186/1752-153X-2-5,,https://openbabel.org/docs/UseTheLibrary/Python_Pybel.html,General Tools,Chemical Format Translation,,,Python wrapper for the OpenBabel cheminformatics toolkit,,,,,290.0,material/translate-variant
Chemaxon,,,,https://www.chemaxon.com/,General Tools,Cheminformatics,,,numerous tools for small molecules (standalone).,,,,Commercial,,material/molecule
ChemFormula,https://github.com/molshape/ChemFormula,https://doi.org/10.1021/ja02046a005,,,General Tools,Cheminformatics,Chemical Formulas,,,24.0,01/2022,32 months ago,,100.0,material/molecule
chemcoord,https://github.com/mcocdawc/chemcoord,https://doi.org/10.1002/jcc.27029,,,General Tools,Cheminformatics,Coordinates,,# A python module for coordinates of molecules,71.0,05/2024,4 months ago,,7.0,material/molecule
CDK,,,,https://cdk.github.io/,General Tools,Cheminformatics,Java,,"toolkit for drug discovery, descriptors (standalone)",,,,,,material/molecule
OpenChemLib,https://github.com/Actelion/openchemlib,,,,General Tools,Cheminformatics,Java,,Cheminformatics tool kit. Fully Automated Creation of Virtual Chemical Fragment Spaces Using the Open-Source Library OpenChemLib (standalone),81.0,09/2024,0 months ago,,,material/molecule
nmrglue,https://github.com/jjhelmus/nmrglue,http://dx.doi.org/10.1007/s10858-013-9718-x,,,General Tools,Cheminformatics,NMR,,,211.0,02/2024,7 months ago,,254.0,material/molecule
LillyMol,https://github.com/elilillyco/LillyMol,,,,General Tools,Cheminformatics,Other,,Eli Lilly set of cheminformatic tools (standalone),88.0,08/2024,0 months ago,,,material/molecule
MayaChemTools,http://www.mayachemtools.org/,,,,General Tools,Cheminformatics,Other,,"Cheminformatics tool kit. A growing collection of Perl and Python scripts, modules, and classes to support a variety of day-to-day computational discovery needs (standalone)",,,,,,material/molecule
PDBe CCDUtils,,,,https://pdbeurope.github.io/ccdutils/,General Tools,Cheminformatics,PDB,,A small molecules chemistry toolkit using RDKit for the Protein Data Bank,,,,,,material/molecule
CDPKit - CONFORT,https://github.com/molinfo-vienna/CDPKit,https://doi.org/10.1021/acs.jcim.3c00563,,,General Tools,Cheminformatics,Python,,High-Quality Conformer Generation (standalone).,64.0,09/2024,0 months ago,,6.0,material/molecule
chemfunc,https://github.com/swansonk14/chemfunc,,,,General Tools,Cheminformatics,Python,,,35.0,08/2024,0 months ago,,,material/molecule
Chython,https://github.com/chython/chython,,,,General Tools,Cheminformatics,Python,,Library for processing molecules and reactions in python way.,32.0,08/2024,0 months ago,,,material/molecule
cinfony,,,,http://cinfony.github.io/,General Tools,Cheminformatics,Python,,,,,,,,material/molecule
ODDT,https://github.com/oddt/oddt,https://dx.doi.org/10.1186/s13321-015-0078-2,,,General Tools,Cheminformatics,Python,,"Open Drug Discovery Toolkit, toolkit for drug discovery (standalone)",410.0,02/2022,31 months ago,,144.0,material/molecule
RDKit,https://github.com/rdkit/rdkit,https://doi.org/10.1093/bib/bbaa194,,https://www.rdkit.org/,General Tools,Cheminformatics,Python,,,2586.0,09/2024,0 months ago,,26.0,material/molecule
rdkit-scripts,https://github.com/DrrDom/rdkit-scripts,,,,General Tools,Cheminformatics,Python,,rdkit scripts making life easier (standalone),57.0,05/2024,3 months ago,,,material/molecule
OpenBabel,,https://doi.org/10.1186/1758-2946-3-33,,http://openbabel.org/wiki/Main_Page,General Tools,Cheminformatics,Python,,"toolkit for drug discovery, file format etc (standalone)",,,,,6115.0,material/molecule
aqme,https://github.com/jvalegre/aqme,https://doi.org/10.1002/wcms.1663).,,,General Tools,Cheminformatics,QM,,"AQME, or Automated Quantum Mechanical Environments, facilitates transparent and reproducible quantum chemistry workflows, supporting tasks like conformer generation, QM input file creation, and descriptor generation.",95.0,07/2024,1 months ago,,0.0,material/molecule
psikit,https://github.com/Mishima-syk/psikit,,,,General Tools,Cheminformatics,QM,,"Psikit is a Python library that serves as a wrapper for Psi4 and RDKit, designed for quick quantum chemical calculations and molecular manipulation.",95.0,11/2020,46 months ago,,,material/molecule
ChemPy,https://github.com/bjodah/chempy,https://doi.org/10.21105/joss.00565,,,General Tools,Cheminformatics,Reaction Tools,,,544.0,04/2024,4 months ago,,19.0,material/molecule
DataWarrior,,,,http://www.openmolecules.org/datawarrior/,General Tools,Cheminformatics,Standalone,,numerous tools (standalone).,,,,,,material/molecule
maize,https://github.com/MolecularAI/maize,,,,General Tools,Cheminformatics,Workflow Managers,,a graph-based workflow manager for computational chemistry pipelines,32.0,08/2024,0 months ago,,,material/molecule
LUNA,https://github.com/keiserlab/LUNA,https://doi.org/10.1101/2022.05.25.493419,,,General Tools,Fingerprints,Protein-ligand interaction fingerprints,,,47.0,04/2024,5 months ago,,4.0,material/numeric-10
Elinson et al.,,https://doi.org/10.1007/s11030-024-10889-7,,https://link.springer.com/article/10.1007/s11030-024-10889-7,General Tools,Reviews,,,Review on various python packages for chemistry,,,,,0.0,material/message-draw
AIC_Finder,https://github.com/dahvida/AIC_Finder,https://pubs.acs.org/doi/10.1021/acscentsci.3c01517,,,HTS Analysis,HTS Analysis,,,,5.0,03/2024,5 months ago,,1.0,fontawesome/solid/chart-pie
Chem-Faiss,https://github.com/ritabratamaiti/Chem-Faiss,https://zenodo.org/badge/latestdoi/267277104,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,Chem-Faiss utilizes vector similarity search from Faiss combined with chemical fingerprinting to build a scalable similarity search architecture for compounds/molecules.,19.0,03/2021,42 months ago,,,material/filter-variant
eiR,https://github.com/girke-lab/eiR,,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,eiR is a Bioconductor package for accelerated structure similarity searching of small molecules using an embedding and indexing approach.,3.0,04/2023,17 months ago,,,material/filter-variant
FiBeFTa,https://github.com/OriolVillaro/FiBeFTa,,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,"FiBeFTa is an online tool for virtual screening and fingerprint evaluation, comparing the performance of different molecular fingerprints for target-specific discernment.",0.0,09/2021,35 months ago,,,material/filter-variant
FPSim2,https://github.com/chembl/FPSim2,https://doi.org/10.1021/ci600358f,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,"FPSim2 is a RDKit-based package for fast compound similarity searches, offering high performance with high search thresholds.",107.0,09/2024,0 months ago,,72.0,material/filter-variant
gpusimilarity,https://github.com/schrodinger/gpusimilarity,,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,gpusimilarity provides a GPU implementation of chemical fingerprint similarity searching for large-scale chemical libraries.,97.0,01/2024,7 months ago,,,material/filter-variant
pyADA,https://github.com/jeffrichardchemistry/pyADA,,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,pyADA is a cheminformatics package for performing Applicability Domain Analysis of molecular fingerprints based on similarity calculation.,21.0,02/2024,7 months ago,,,material/filter-variant
PyRMD,https://github.com/cosconatilab/PyRMD?tab=readme-ov-file,https://doi.org/10.1021/acs.jcim.1c00653,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,"PyRMD is an AI-powered Ligand-Based Virtual Screening tool powered by machine learning, developed for fast and efficient virtual screening.",76.0,06/2023,14 months ago,,25.0,material/filter-variant
ScreenLamp,,,,https://psa-lab.github.io/screenlamp/user_guide/tools/,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,"ScreenLamp is a modular toolkit for virtual screening, offering various command-line tools for different stages of the virtual screening process.",,,,,,material/filter-variant
SmallWorld,,,https://sw.docking.org/search.html,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,web-based ligand similarity on a variety of commercial databases,,,,,,material/filter-variant
SwissSimilarity,,https://doi.org/10.3390%2Fijms23020811,,http://www.swisssimilarity.ch/,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,SwissSimilarity offers an online service for small molecule similarity screening against selected compound libraries using various cheminformatics methods.,,,,,70.0,material/filter-variant
WHALES,https://github.com/grisoniFr/scaffold_hopping_whales/blob/master/code/virtual_screening_pipeline.ipynb,https://doi.org/10.1038%2Fs41598-018-34677-0,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,2D,,WHALES provides a virtual screening pipeline focusing on scaffold hopping and ligand-based drug discovery through a Jupyter notebook example.,31.0,01/2021,44 months ago,,26.0,material/filter-variant
ROSHAMBO,https://github.com/molecularinformatics/roshambo,https://doi.org/10.26434/chemrxiv-2024-6wk09,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,3D,,Open-Source Molecular Alignment and 3D Similarity Scoring,41.0,08/2024,0 months ago,,0.0,material/filter-variant
AutoDock-SS,,https://doi.org/10.1021/acs.jcim.4c00136,,https://www.semanticscholar.org/paper/AutoDock-SS%3A-AutoDock-for-Multiconformational-Ni-Wang/6a967759d3ab27e076e570238a7f8ce029bfc0e7,Ligand-based Virtual Screening,Ligand-based Virtual Screening,3D,,"AutoDock-SS enhances AutoDock for multiconformational and flexible ligand docking, considering various ligand conformations for accurate docking predictions.",,,,,0.0,material/filter-variant
SCRdkit,https://github.com/oxpig/DEVELOP/blob/main/analysis/calc_SC_RDKit.py,https://doi.org/10.1101/2021.04.27.441676v1.full,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,3D,,assesses the 3D similarity between generated molecules and a reference molecule,55.0,01/2022,32 months ago,,0.0,material/filter-variant
SENSAAS,https://github.com/SENSAAS/sensaas,https://doi.org/10.1002/minf.202000081,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,3D,,"SENSAAS is a shape-based alignment software for superimposing molecules, utilizing a colored point-based surface representation for molecular comparison.",18.0,03/2024,6 months ago,,3.0,material/filter-variant
ShaEP,,https://doi.org/10.1021/ci800315d,,https://users.abo.fi/mivainio/shaep/,Ligand-based Virtual Screening,Ligand-based Virtual Screening,3D,,"ShaEP aligns two 3D molecular structures and computes a similarity index, useful for virtual screening and 3D QSAR methods.",,,,,170.0,material/filter-variant
LiSiCa,,https://doi.org/10.1021/acs.jcim.5b00136,,http://insilab.org/lisica/,Ligand-based Virtual Screening,Ligand-based Virtual Screening,Hybrid,,(Already described above under 2D) Offers both 2D and 3D ligand similarity screening options based on graph-theoretical methods.,,,,,72.0,material/filter-variant
USearch,https://github.com/ashvardanian/usearch-molecules,,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,Precomputed Libraries,,"USearch facilitates structural similarity searches across billions of molecules in milliseconds, focusing on chemoinformatics applications.",44.0,03/2024,5 months ago,,,material/filter-variant
BIND,https://github.com/Chokyotager/BIND,https://doi.org/10.1101/2024.04.16.589765,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,Sequence-based potency prediction,,,9.0,06/2024,3 months ago,,0.0,material/filter-variant
iSIM,https://github.com/mqcomplab/iSIM/blob/main/iSIM_example.ipynb,https://doi.org/10.1021/acs.jcim.2c01073,,,Ligand-based Virtual Screening,Ligand-based Virtual Screening,Similarity calculations,,,29.0,08/2024,1 months ago,,66.0,material/filter-variant
Surflex-Tools,,,,http://www.biopharmics.com/,Ligand-based Virtual Screening,Ligand-based Virtual Screening,Similarity calculations,,starting with version 4 (standalone).,,,,Commercial,,material/filter-variant
active-learning-drug-discovery,https://github.com/gitter-lab/active-learning-drug-discovery,,,,ML+AI,Active Learning,,,virtual screening (standalone),3.0,03/2024,6 months ago,,,material/school
AL-VS,https://github.com/molecularinformatics/PretrainedAL-VS,https://doi.org/10.1021/acs.jcim.3c01938,,,ML+AI,Active Learning,,,Large-Scale Pretraining Improves Sample Efficiency of Active Learning-Based Virtual Screening,7.0,03/2024,6 months ago,,0.0,material/school
ChemSpaceAL,https://github.com/gregory-kyro/ChemSpaceAL,https://doi.org/10.1021/acs.jcim.3c01456,,,ML+AI,Active Learning,,,"an Efficient Active Learning Methodology Applied to Protein-Specific Molecular Generation (generative chemistry) (standalone, 2024).",14.0,12/2023,8 months ago,,1.0,material/school
Conformalpredictor,https://github.com/Carlssonlab/conformalpredictor,https://doi.org/10.26434/chemrxiv-2023-w3x36,,,ML+AI,Active Learning,,,Rapid Traversal of Ultralarge Chemical Space using Machine Learning Guided Docking Screens (standalone).,25.0,09/2024,0 months ago,,1.0,material/school
DeepDocking,https://github.com/jamesgleave/Deep-Docking-NonAutomated,https://doi.org/10.1021/acscentsci.0c00229).,,,ML+AI,Active Learning,,,,41.0,11/2022,21 months ago,,0.0,material/school
HASTEN,https://github.com/TuomoKalliokoski/HASTEN,https://doi.org/10.1002/minf.202100089,,,ML+AI,Active Learning,,,,35.0,04/2023,16 months ago,,9.0,material/school
molpal,https://github.com/coleygroup/molpal,https://doi.org/10.1039/D0SC06805E,,,ML+AI,Active Learning,,,Molecular Pool-based Active Learning,159.0,04/2023,16 months ago,,145.0,material/school
PyRMD2Dock,https://github.com/cosconatilab/PyRMD,https://doi.org/10.1021/acs.jcim.1c00653,,,ML+AI,Active Learning,,,Streamlining Large Chemical Library Docking with Artificial Intelligence: the PyRMD2Dock (and PyRMD) (ultralarge screening - 2023) (standalone).,76.0,06/2023,14 months ago,,25.0,material/school
RAD,https://github.com/keiserlab/rad,https://doi.org/10.26434/chemrxiv-2024-qsdd1,,,ML+AI,Active Learning,,,"Retrieval Augmented Docking (standalone, 2024).",3.0,07/2024,1 months ago,,0.0,material/school
ActiveDelta,https://github.com/RekerLab/ActiveDelta,https://doi.org/10.3762/bjoc.20.185,,,ML+AI,Active Learning,,,predict molecular improvements from the best current training compound to prioritize molecules for training set expansion,7.0,08/2024,0 months ago,,0.0,material/school
Understanding active learning of molecular docking and its applications,,https://doi.org/10.48550/arXiv.2406.12919,,,ML+AI,Active Learning,Reviews,,,,,,,0.0,material/school
